RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
32,Ashton Jeanty   LV,RB,17,12.0,7.4,6.3,33.5,15.9,16.6,4.4,BYE,19.9,15.3,9.4,24.8,12.1,5.8,8.2,31.8,9.3,12.4,14.4,245.1
33,Zay Flowers   BAL,WR,17,28.1,14.9,3.3,14.4,12.2,8.6,BYE,14.1,11.4,12.1,11.3,11.9,0.6,20.6,15.8,21.2,13.0,29.8,14.3,243.3
34,Javonte Williams   DAL,RB,16,20.4,25.0,12.2,19.0,26.9,8.4,18.8,17.9,7.3,BYE,10.3,12.1,17.0,14.7,15.1,6.3,11.4,—,15.2,242.8
35,Jordan Love   GB,QB,15,15.9,20.9,12.1,26.3,BYE,16.0,13.4,28.3,10.0,7.8,17.7,7.1,25.8,20.3,15.9,3.8,—,—,16.1,241.1
36,Josh Jacobs   GB,RB,15,14.0,14.4,12.4,31.7,BYE,32.0,18.8,13.5,20.0,19.7,4.0,—,10.1,17.2,23.2,4.8,1.3,—,15.8,237.1
37,Jacoby Brissett   ARI,QB,14,—,0.2,—,—,0.0,21.7,19.8,BYE,24.8,19.4,23.9,18.7,20.6,20.0,21.6,11.6,16.5,16.6,16.8,235.4
38,Daniel Jones   IND,QB,13,29.5,22.8,15.8,12.4,16.7,23.5,22.2,23.2,17.1,16.5,BYE,16.8,16.1,1.8,—,—,—,—,18.0,234.4
39,Aaron Rodgers   PIT,QB,16,25.7,12.4,12.7,12.8,BYE,17.5,24.6,16.8,12.1,8.4,9.4,—,2.7,21.5,17.0,15.5,7.3,17.8,14.6,234.1
40,Saquon Barkley   PHI,RB,16,18.4,17.4,9.5,17.4,17.8,8.7,5.2,33.4,BYE,13.1,10.0,12.4,5.6,18.2,17.2,21.2,6.8,—,14.5,232.3
41,Bryce Young   CAR,QB,16,10.2,22.3,11.6,10.3,13.0,19.5,10.5,—,4.0,2.6,31.8,10.3,22.5,BYE,15.4,17.6,9.9,17.5,14.3,229.0
42,D'Andre Swift   CHI,RB,16,9.5,13.9,10.8,16.0,BYE,25.5,20.8,15.1,—,14.8,9.0,1.9,20.8,11.2,22.6,9.0,21.9,5.8,14.3,228.6
43,Nico Collins   HOU,WR,15,5.5,14.2,22.4,11.9,16.0,BYE,6.7,—,14.5,22.6,24.2,8.5,21.5,16.1,23.5,9.9,8.7,—,15.1,226.2
44,Davante Adams   LAR,WR,14,9.1,22.6,14.6,15.6,13.8,7.9,26.5,BYE,23.0,19.7,7.1,23.2,21.8,6.9,11.1,—,—,—,15.9,222.9
45,Lamar Jackson   BAL,QB,13,29.4,26.3,27.0,11.7,—,—,BYE,—,25.6,16.6,6.7,7.2,7.5,22.1,15.6,4.7,—,21.4,17.1,221.9
46,Kenneth Gainwell   PIT,RB,17,5.3,6.6,9.6,31.4,BYE,9.6,3.5,3.5,7.4,2.4,29.5,18.2,6.5,16.2,19.6,23.8,6.8,21.4,13.0,221.3
47,Michael Wilson   ARI,WR,17,1.5,8.1,1.5,4.5,3.6,8.4,7.0,BYE,9.1,7.4,33.5,21.8,6.6,37.2,16.4,13.2,19.9,20.9,13.0,220.6
48,A.J. Brown   PHI,WR,15,1.8,7.7,22.9,2.7,9.3,14.0,28.1,—,BYE,3.3,11.9,25.0,35.2,16.0,12.1,18.5,11.8,—,14.7,220.3
49,Jameson Williams   DET,WR,17,6.6,18.8,6.3,5.7,2.0,18.6,0.0,BYE,16.6,23.9,19.7,0.0,26.9,17.3,26.4,12.0,5.7,13.4,12.9,219.9
50,Courtland Sutton   DEN,WR,17,18.1,1.6,23.8,19.1,17.9,2.7,16.7,10.7,10.0,5.4,9.9,BYE,17.2,12.2,24.3,20.6,8.0,1.5,12.9,219.7
51,Wan'Dale Robinson   NYG,WR,16,11.5,28.2,3.6,4.4,8.2,20.4,15.5,7.8,13.6,12.2,7.6,30.6,10.4,BYE,16.4,5.2,22.3,—,13.6,217.9
52,Jaylen Warren   PIT,RB,16,13.9,17.4,13.1,—,BYE,8.3,19.8,9.3,16.9,11.1,8.7,12.8,12.4,15.2,7.8,29.1,6.4,14.9,13.6,217.1
53,C.J. Stroud   HOU,QB,14,9.7,15.0,12.4,18.4,28.8,BYE,14.7,22.7,4.4,—,—,—,10.0,12.6,23.4,11.5,15.8,17.3,15.5,216.5
54,Rico Dowdle   CAR,RB,17,3.6,2.9,10.8,4.0,32.4,33.9,10.6,5.4,28.1,15.3,15.0,11.4,9.9,BYE,12.4,8.3,9.3,3.0,12.7,216.3
55,Tee Higgins   CIN,WR,15,6.3,14.6,2.5,6.2,11.2,11.2,21.6,11.4,33.1,BYE,15.3,8.1,—,27.2,—,14.3,9.9,18.7,14.1,211.6
56,Tetairoa McMillan   CAR,WR,17,11.8,16.0,7.8,10.2,13.3,17.9,6.3,16.9,8.6,11.0,33.0,11.5,11.3,BYE,4.5,19.3,1.5,10.5,12.4,211.4
57,Kyle Pitts Sr.   ATL,TE,17,12.9,7.7,7.9,18.0,BYE,4.8,13.2,14.9,7.8,5.8,3.4,4.5,15.2,15.0,45.6,18.7,3.6,11.8,12.4,210.8
58,Stefon Diggs   NE,WR,17,11.7,7.2,5.3,16.1,24.6,5.8,13.9,10.4,12.8,15.6,19.5,4.0,5.6,BYE,5.6,22.8,22.1,7.3,12.4,210.3
59,Breece Hall   NYJ,RB,16,16.5,5.8,9.2,16.1,17.5,5.9,7.2,32.9,BYE,19.5,8.4,13.9,15.6,4.3,5.7,8.3,20.9,—,13.0,207.7
60,RJ Harvey   DEN,RB,17,7.9,3.4,4.6,19.8,6.0,6.5,7.2,24.1,16.6,3.8,8.0,BYE,21.2,22.0,10.5,22.1,18.6,4.3,12.2,206.6
61,TreVeyon Henderson   NE,RB,17,11.1,6.0,7.7,12.6,4.7,4.6,0.5,5.5,12.7,28.0,32.3,11.1,11.6,BYE,30.1,2.2,8.2,17.3,12.1,206.2
62,Michael Pittman Jr.   IND,WR,17,20.0,8.0,19.3,15.1,14.9,4.0,20.8,23.5,20.5,3.9,BYE,13.7,2.3,16.9,5.6,7.2,3.6,3.1,11.9,202.4
63,Jason Myers   SEA,K,17,8.0,9.0,17.0,14.0,5.0,10.0,10.0,BYE,9.0,15.0,15.0,13.0,19.0,14.0,24.0,2.0,10.0,8.0,11.9,202.0
64,Drake London   ATL,WR,12,13.5,5.9,10.5,25.0,BYE,31.8,8.2,—,38.8,24.4,18.9,—,—,—,—,5.7,1.4,17.8,16.8,201.9
65,DeVonta Smith   PHI,WR,17,4.6,9.3,20.0,4.9,19.4,8.9,33.3,14.4,BYE,16.9,1.8,14.9,9.8,7.7,7.0,16.2,4.5,8.2,11.9,201.8
66,Justin Jefferson   MIN,WR,17,14.8,11.1,12.5,22.6,19.3,BYE,12.9,14.4,16.7,7.7,11.1,8.8,2.4,3.1,4.2,14.5,7.0,18.4,11.9,201.5
67,CeeDee Lamb   DAL,WR,14,18.0,20.2,0.0,—,—,—,22.0,14.6,15.5,BYE,17.6,11.5,24.2,18.1,17.1,11.1,9.6,1.4,14.4,200.9
68,Emeka Egbuka   TB,WR,17,23.6,12.9,14.5,20.1,31.3,4.4,9.8,6.5,BYE,23.5,9.0,6.2,8.2,3.5,10.4,5.0,5.0,1.8,11.5,195.7
69,Jaylen Waddle   MIA,WR,16,7.0,17.8,14.9,7.8,23.0,15.8,2.5,20.9,14.2,19.4,8.2,BYE,7.0,18.1,4.6,12.2,0.7,—,12.1,194.1
70,Ka'imi Fairbairn   HOU,K,15,14.0,9.0,4.0,10.0,18.0,BYE,8.0,14.0,18.0,—,—,12.0,9.0,8.0,18.0,16.0,10.0,26.0,12.9,194.0
71,Cam Ward   TEN,QB,17,2.5,9.8,13.0,5.5,9.0,7.9,11.2,13.8,6.4,BYE,13.1,23.9,6.3,12.1,15.0,18.0,17.0,9.2,11.4,193.7
72,Travis Kelce   KC,TE,17,12.7,10.1,6.6,9.8,19.1,13.8,8.4,21.9,12.6,BYE,24.1,8.4,15.5,1.8,14.0,1.6,8.6,4.2,11.4,193.2
73,Kenneth Walker III   SEA,RB,17,5.4,18.8,18.0,12.0,9.6,4.7,6.6,BYE,8.1,8.0,20.1,13.1,10.4,3.8,2.9,25.4,7.7,17.3,11.3,191.9
